No.,Time Stamp,Volts AN,Volts BN,Volts LN Average,Volts AB,Volts LL Average,I A,I B,I Average,Watt A,Watt B,Watt Total,VAR A,VAR B,VAR Total,VA A,VA B,VA Total,Pwr Factor A,Pwr Factor B,Pwr Factor Total,Dmd Watt Total,Dmd VAR Total,Dmd VA Total,Dmd I A,Dmd I B,Ep_imp,Ep_exp,Eq_imp,Eq_exp,Ep_total,Ep_net,Eq_total,Eq_net,Es
1,2019-01-10 22:10:00,116.74,117.61,117.18,234.18,0,7.3992,2.7921,5.0957,0.61832,0.30587,0.92419,0.59923,0.08439,0.68362,0.86366,0.32841,1.19207,0.716,0.931,0.775,-0.47033,-0.38033,1.1193,7.3349,2.2379,0,1096.7,0,821.4,1096.7,-1096.7,821.4,-821.4,1446.4
2,2019-01-10 22:15:00,116.76,117.45,117.11,234.09,0,7.3851,2.7932,5.0891,0.61639,0.30566,0.92205,0.59888,0.08251,0.68139,0.86209,0.32821,1.19029,0.715,0.931,0.775,0.09657,0.05953,1.16026,7.4148,2.5158,0.1,1096.7,0,821.4,1096.8,-1096.6,821.4,-821.4,1446.5
3,2019-01-10 22:20:00,116.32,117.12,116.72,233.19,0,7.0793,1.4323,4.2558,0.56295,0.14133,0.70429,0.59665,-0.0038,0.59285,0.82316,0.16765,0.99081,0.684,0.843,0.711,0.6987,0.51635,1.17841,7.3115,2.7811,0.1,1096.7,0.1,821.4,1096.8,-1096.6,821.5,-821.3,1446.6
4,2019-01-10 22:25:00,116.44,117.15,116.8,233.53,0,7.0971,2.8051,4.9511,0.5638,0.30718,0.87098,0.60011,0.08131,0.68143,0.82628,0.32977,1.15606,0.682,0.931,0.753,0.87204,0.6688,1.15211,7.1928,2.6864,0.2,1096.7,0.2,821.4,1096.9,-1096.5,821.6,-821.2,1446.7
5,2019-01-10 22:30:00,116.62,117.22,116.92,234.03,0,7.104,2.7792,4.9416,0.5652,0.30306,0.86826,0.60186,0.0816,0.68346,0.82848,0.32524,1.15372,0.682,0.932,0.753,0.89427,0.68825,1.18403,7.0968,3.0532,0.3,1096.7,0.2,821.4,1097,-1096.4,821.6,-821.2,1446.8
6,2019-01-10 22:35:00,116.72,117.53,117.12,234.13,0,7.106,1.4325,4.2693,0.56526,0.14148,0.70674,0.60265,-0.00284,0.59981,0.82902,0.16826,0.99728,0.682,0.841,0.709,0.8897,0.68529,1.18217,7.0906,3.0424,0.4,1096.7,0.3,821.4,1097.1,-1096.3,821.7,-821.1,1446.9
7,2019-01-10 22:40:00,117.02,117.7,117.36,234.59,0,7.1264,2.7848,4.9556,0.56867,0.30504,0.8737,0.60621,0.08488,0.69109,0.83405,0.3278,1.16185,0.682,0.931,0.752,0.90354,0.69404,1.19695,7.1,3.1459,0.4,1096.7,0.3,821.4,1097.1,-1096.3,821.7,-821.1,1447
8,2019-01-10 22:45:00,116.89,117.63,117.26,234.34,0,8.1818,2.5768,5.3793,0.69417,0.27896,0.97313,0.65464,0.08042,0.73506,0.9562,0.30289,1.25909,0.726,0.921,0.773,0.89145,0.68737,1.18082,7.3282,2.7701,0.5,1096.7,0.4,821.4,1097.2,-1096.2,821.8,-821,1447.1
9,2019-01-10 22:50:00,116.68,117.63,117.16,234.16,0,8.1194,1.4453,4.7823,0.68691,0.14328,0.83019,0.65039,-0.0027,0.64769,0.94793,0.17106,1.11899,0.725,0.838,0.742,0.87311,0.67784,1.15915,7.6706,2.2438,0.6,1096.7,0.4,821.4,1097.3,-1096.1,821.8,-821,1447.2
10,2019-01-10 22:55:00,116.5,117.21,116.85,233.7,0,8.0351,2.7854,5.4103,0.67632,0.30476,0.98107,0.64392,0.08235,0.72627,0.93599,0.327,1.263,0.723,0.932,0.777,0.92203,0.69667,1.20595,8,2.3263,0.6,1096.7,0.5,821.4,1097.3,-1096.1,821.9,-820.9,1447.3
