No.	Time Stamp	Volts AN	Volts BN	Volts CN	Volts LN Average	Volts AB	Volts BC	Volts CA	Volts LL Average	I A	I B	I C	I Average	Watt A	Watt B	Watt C	Watt Total	VAR A	VAR B	VAR C	VAR Total	VA A	VA B	VA C	VA Total	Pwr Factor A	Pwr Factor B	Pwr Factor C	Pwr Factor Total	Dmd Watt Total	Dmd VAR Total	Dmd VA Total	Dmd I A	Dmd I B	Dmd I C	Ep_imp	Ep_exp	Eq_imp	Eq_exp	Ep_total	Ep_net	Eq_total	Eq_net	Es
6586	2019-02-13 05:59:00	118.37	118.68	117.23	118.10	205.78	203.37	204.16	204.44	16.607	11.302	12.796	13.568	-1.00664	1.28255	1.49079	1.76670	1.67318	0.29884	-0.16283	1.80919	1.96531	1.33694	1.50688	4.80914	-0.512	0.959	0.989	0.367	1.77342	1.84048	4.88471	16.987	11.276	13.134	340.1	0.0	351.2	0.0	340.1	340.1	351.2	351.2	940.7
6587	2019-02-13 06:04:00	118.12	118.36	117.16	117.88	205.15	202.95	203.87	203.99	19.505	13.333	14.937	15.925	-1.17464	1.49698	1.71787	2.04020	1.91906	0.33468	-0.18239	2.07135	2.26667	1.55301	1.73798	5.55766	-0.518	0.964	0.988	0.367	1.88361	1.91831	5.11535	17.672	12.080	13.677	340.2	0.0	351.3	0.0	340.2	340.2	351.3	351.3	941.1
6588	2019-02-13 06:09:00	118.17	118.32	116.78	117.76	205.16	202.44	203.88	203.83	20.989	14.416	16.093	17.166	-1.26630	1.60603	1.81927	2.15899	2.03100	0.33512	-0.18268	2.18345	2.41271	1.66148	1.84045	5.91464	-0.525	0.967	0.988	0.365	2.02879	2.05830	5.51816	19.080	13.070	14.739	340.4	0.0	351.5	0.0	340.4	340.4	351.5	351.5	941.6
6589	2019-02-13 06:14:00	118.51	118.79	117.01	118.10	206.02	202.94	204.03	204.33	20.155	13.938	15.798	16.631	-1.22303	1.59232	1.80196	2.17124	2.02564	0.36491	-0.19938	2.19117	2.38485	1.65371	1.82470	5.86326	-0.513	0.963	0.988	0.370	2.17163	2.18689	5.88063	20.281	14.110	15.692	340.6	0.0	351.7	0.0	340.6	340.6	351.7	351.7	942.1
6590	2019-02-13 06:19:00	118.36	118.67	117.02	118.02	205.77	203.06	204.06	204.29	18.980	13.181	14.715	15.625	-1.17748	1.52967	1.74336	2.09555	1.96073	0.35063	-0.19813	2.11323	2.30555	1.58967	1.76612	5.66134	-0.511	0.962	0.987	0.370	2.18869	2.19404	5.91329	20.327	14.133	15.726	340.8	0.0	351.9	0.0	340.8	340.8	351.9	351.9	942.6
6591	2019-02-13 06:24:00	118.25	118.46	116.71	117.81	205.42	202.41	203.65	203.83	20.695	14.168	15.956	16.939	-1.27940	1.63178	1.85710	2.20949	2.08084	0.37041	-0.19052	2.26073	2.46174	1.69351	1.87901	6.03426	-0.520	0.964	0.988	0.366	2.19415	2.19251	5.89866	20.227	14.175	15.680	341.0	0.0	352.1	0.0	341.0	341.0	352.1	352.1	943.1
6592	2019-02-13 06:29:00	118.31	118.57	116.64	117.84	205.58	202.34	203.67	203.86	20.557	14.280	15.887	16.908	-1.21952	1.60314	1.79203	2.17565	2.02450	0.33258	-0.20677	2.15031	2.38267	1.65824	1.81604	5.85694	-0.512	0.967	0.987	0.371	2.18103	2.21505	5.93706	20.505	13.976	15.862	341.2	0.0	352.3	0.0	341.2	341.2	352.3	352.3	943.6
6593	2019-02-13 06:34:00	118.33	118.63	116.81	117.92	205.62	202.76	203.95	204.11	19.115	13.113	14.832	15.687	-1.16218	1.51665	1.72489	2.07936	1.95027	0.32720	-0.20247	2.07499	2.28855	1.57268	1.74798	5.60921	-0.508	0.964	0.987	0.371	2.20887	2.22186	5.99006	20.675	14.281	16.008	341.3	0.0	352.4	0.0	341.3	341.3	352.4	352.4	944.1
6594	2019-02-13 06:39:00	118.20	118.44	116.88	117.84	205.44	202.80	203.75	204.00	20.790	14.497	15.999	17.096	-1.22456	1.61726	1.80605	2.19874	2.03340	0.34456	-0.20529	2.17267	2.39311	1.67384	1.83023	5.89718	-0.512	0.966	0.987	0.373	2.18519	2.19485	5.92698	20.498	14.065	15.870	341.5	0.0	352.6	0.0	341.5	341.5	352.6	352.6	944.6
6595	2019-02-13 06:44:00	118.33	118.68	117.05	118.02	205.78	203.03	204.01	204.27	20.562	13.953	15.997	16.837	-1.25094	1.58145	1.83444	2.16496	2.05943	0.34326	-0.19109	2.21161	2.42816	1.63886	1.85587	5.92289	-0.515	0.965	0.988	0.366	2.18187	2.19157	5.90463	20.418	14.007	15.824	341.7	0.0	352.8	0.0	341.7	341.7	352.8	352.8	945.1
