No.	Time Stamp	Volts AN	Volts BN	Volts CN	Volts LN Average	Volts AB	Volts BC	Volts CA	Volts LL Average	I A	I B	I C	I Average	Watt A	Watt B	Watt C	Watt Total	VAR A	VAR B	VAR C	VAR Total	VA A	VA B	VA C	VA Total	Pwr Factor A	Pwr Factor B	Pwr Factor C	Pwr Factor Total	Dmd Watt Total	Dmd VAR Total	Dmd VA Total	Dmd I A	Dmd I B	Dmd I C	Ep_imp	Ep_exp	Eq_imp	Eq_exp	Ep_total	Ep_net	Eq_total	Eq_net	Es
8852	2019-02-15 05:40:00	118.04	119.01	118.85	118.63	204.81	205.87	205.30	205.33	11.454	9.9382	11.121	10.838	1.26860	1.12131	1.28567	3.67557	0.47070	0.25175	0.31274	1.03519	1.38817	1.19782	1.36228	3.94827	0.914	0.936	0.944	0.931	3.47142	0.99950	3.74030	11.313	9.5008	10.767	651.4	0.0	138.9	0.0	651.4	651.4	138.9	138.9	677.9
8853	2019-02-15 05:45:00	117.84	118.90	118.90	118.55	204.56	205.82	205.22	205.20	11.203	9.4252	10.861	10.496	1.20034	1.04983	1.20892	3.45909	0.46730	0.23522	0.32122	1.02374	1.31995	1.12116	1.28770	3.72881	0.909	0.936	0.939	0.928	3.52952	1.01161	3.79621	11.456	9.7519	10.893	651.7	0.0	139.0	0.0	651.7	651.7	139.0	139.0	678.2
8854	2019-02-15 05:50:00	117.63	118.84	118.97	118.48	204.16	205.94	205.16	205.09	11.468	8.9559	11.331	10.585	1.21749	0.96922	1.28461	3.47132	0.46290	0.23445	0.28165	0.97901	1.33554	1.04749	1.35223	3.73526	0.912	0.925	0.950	0.929	3.50244	0.99951	3.76680	11.323	9.5885	10.915	652.0	0.0	139.1	0.0	652.0	652.0	139.1	139.1	678.5
8855	2019-02-15 05:55:00	117.51	118.89	119.07	118.49	204.03	206.12	205.24	205.13	11.561	8.2645	11.490	10.439	1.24652	0.89257	1.29154	3.43064	0.49007	0.23435	0.32302	1.04744	1.37200	0.97743	1.36847	3.71791	0.909	0.913	0.944	0.923	3.46916	1.00424	3.73856	11.377	9.0926	11.115	652.2	0.0	139.2	0.0	652.2	652.2	139.2	139.2	678.8
8856	2019-02-15 06:00:00	117.73	118.91	118.86	118.50	204.34	205.82	205.19	205.12	12.511	9.6941	10.897	11.034	1.37684	1.08311	1.21914	3.67909	0.44043	0.24019	0.31945	1.00006	1.47425	1.15357	1.29724	3.92506	0.934	0.939	0.940	0.937	3.44874	1.00647	3.72101	11.241	9.0263	11.151	652.5	0.0	139.3	0.0	652.5	652.5	139.3	139.3	679.1
8857	2019-02-15 06:05:00	117.43	118.96	119.14	118.51	204.11	206.32	205.10	205.18	12.053	11.677	11.301	11.677	1.28219	1.32833	1.27228	3.88280	0.47699	0.24436	0.31475	1.03610	1.40084	1.38970	1.34861	4.13914	0.915	0.956	0.943	0.938	3.45204	1.01489	3.72415	11.289	9.0533	11.126	652.8	0.0	139.3	0.0	652.8	652.8	139.3	139.3	679.4
8858	2019-02-15 06:10:00	117.77	118.94	119.01	118.57	204.34	205.81	205.13	205.09	11.772	10.053	11.367	11.064	1.26231	1.12228	1.27889	3.66348	0.48851	0.25121	0.32206	1.06178	1.38735	1.19639	1.35693	3.94067	0.910	0.938	0.942	0.930	3.53248	1.02548	3.80121	11.430	9.6840	10.996	653.1	0.0	139.4	0.0	653.1	653.1	139.4	139.4	679.8
8859	2019-02-15 06:15:00	117.95	119.22	118.92	118.70	204.77	206.38	205.32	205.49	11.290	9.1008	11.080	10.490	1.21500	0.99235	1.23466	3.44201	0.44597	0.27318	0.33177	1.05092	1.32789	1.08025	1.31688	3.72502	0.915	0.919	0.938	0.924	3.56693	1.04261	3.83746	11.591	9.8564	10.932	653.4	0.0	139.5	0.0	653.4	653.4	139.5	139.5	680.1
8860	2019-02-15 06:20:00	117.84	118.99	118.81	118.54	204.59	205.91	204.95	205.15	10.754	10.175	11.165	10.698	1.15756	1.14150	1.24699	3.54605	0.43313	0.26937	0.35315	1.05565	1.26913	1.21515	1.33109	3.81537	0.912	0.939	0.937	0.929	3.54729	1.05553	3.82348	11.544	9.6909	11.032	653.7	0.0	139.6	0.0	653.7	653.7	139.6	139.6	680.4
8861	2019-02-15 06:25:00	117.80	118.87	118.97	118.55	204.43	205.90	205.30	205.21	11.387	10.198	10.901	10.829	1.24259	1.16591	1.24266	3.65116	0.48502	0.27647	0.31041	1.07189	1.36683	1.24152	1.31840	3.92675	0.909	0.939	0.943	0.930	3.56025	1.07505	3.83982	11.356	9.8865	11.182	654.0	0.0	139.7	0.0	654.0	654.0	139.7	139.7	680.7
8862	2019-02-15 06:30:00	117.91	118.93	118.87	118.57	204.56	206.04	205.11	205.24	11.356	11.648	10.962	11.322	1.22171	1.29272	1.21392	3.72835	0.44673	0.35233	0.32493	1.12399	1.33695	1.38175	1.29747	4.01617	0.914	0.936	0.936	0.928	3.61474	1.08012	3.89211	11.395	10.323	11.153	654.3	0.0	139.8	0.0	654.3	654.3	139.8	139.8	681.0
8863	2019-02-15 06:35:00	117.63	118.63	118.90	118.39	204.30	205.77	205.00	205.02	11.255	10.815	10.286	10.785	1.21061	1.19809	1.14617	3.55487	0.45640	0.32936	0.30247	1.08823	1.32459	1.27977	1.22251	3.82687	0.914	0.936	0.938	0.929	3.69199	1.09704	3.96824	11.500	11.033	10.981	654.6	0.0	139.9	0.0	654.6	654.6	139.9	139.9	681.4
8864	2019-02-15 06:40:00	117.80	118.75	119.03	118.53	204.40	205.93	205.21	205.18	10.982	9.6458	11.384	10.671	1.18763	1.04215	1.25932	3.48910	0.43612	0.33219	0.33846	1.10677	1.29729	1.13797	1.33917	3.77443	0.915	0.916	0.940	0.924	3.65959	1.10790	3.93994	11.615	10.788	10.844	654.9	0.0	140.0	0.0	654.9	654.9	140.0	140.0	681.7
8865	2019-02-15 06:45:00	117.65	119.02	119.01	118.56	204.44	206.28	205.04	205.25	10.618	11.184	11.262	11.021	1.15223	1.24637	1.25088	3.64948	0.41990	0.33289	0.35341	1.10620	1.25978	1.32968	1.33708	3.92653	0.915	0.937	0.936	0.929	3.56143	1.09938	3.84170	11.227	10.411	10.839	655.2	0.0	140.1	0.0	655.2	655.2	140.1	140.1	682.0
8866	2019-02-15 06:50:00	117.50	119.11	118.93	118.52	204.27	206.13	204.98	205.13	11.227	11.512	11.631	11.457	1.21332	1.29406	1.30080	3.80818	0.46196	0.27717	0.34862	1.08776	1.33468	1.36373	1.38784	4.08626	0.909	0.949	0.937	0.932	3.55990	1.09764	3.83941	11.025	10.405	10.998	655.5	0.0	140.2	0.0	655.5	655.5	140.2	140.2	682.3
8867	2019-02-15 06:55:00	117.54	118.98	119.19	118.57	204.41	206.04	205.47	205.31	11.657	10.353	11.142	11.051	1.25777	1.16231	1.25358	3.67366	0.45185	0.27116	0.29426	1.01728	1.36749	1.23371	1.32325	3.92445	0.920	0.942	0.947	0.936	3.62973	1.07729	3.90026	11.204	10.653	11.154	655.9	0.0	140.2	0.0	655.9	655.9	140.2	140.2	682.7
8868	2019-02-15 07:00:00	117.49	118.93	118.99	118.47	204.09	206.08	205.10	205.09	10.814	10.458	11.296	10.856	1.14607	1.17111	1.24012	3.55730	0.41646	0.27056	0.34862	1.03564	1.25302	1.24316	1.32510	3.82129	0.915	0.942	0.936	0.931	3.71977	1.06513	3.98438	11.456	10.940	11.304	656.2	0.0	140.3	0.0	656.2	656.2	140.3	140.3	683.0
8869	2019-02-15 07:05:00	117.37	118.83	119.00	118.40	203.87	206.03	204.93	204.94	11.440	10.217	11.046	10.901	1.40136	1.13906	1.23167	3.77208	0.44131	0.29034	0.34779	1.07944	1.49639	1.21643	1.31676	4.02958	0.936	0.936	0.935	0.936	3.74302	1.07748	4.00865	11.860	10.755	11.312	656.5	0.0	140.4	0.0	656.5	656.5	140.4	140.4	683.3
8870	2019-02-15 07:10:00	117.31	119.08	119.13	118.51	203.89	206.44	204.75	205.02	13.175	12.929	12.127	12.744	1.29434	1.31987	1.25109	3.86531	0.43562	0.28403	0.28167	1.00132	1.39246	1.38576	1.31790	4.09612	0.930	0.952	0.949	0.944	3.70286	1.07343	3.96657	11.678	10.615	11.263	656.8	0.0	140.5	0.0	656.8	656.8	140.5	140.5	683.7
8871	2019-02-15 07:15:00	117.36	118.63	119.26	118.42	203.85	205.69	205.22	204.92	12.352	12.019	10.569	11.647	1.34591	1.35710	1.15888	3.86190	0.45584	0.29467	0.28876	1.03928	1.44972	1.42406	1.23531	4.10909	0.928	0.953	0.938	0.940	3.77096	1.06657	4.02803	11.981	10.974	11.132	657.1	0.0	140.6	0.0	657.1	657.1	140.6	140.6	684.0
8872	2019-02-15 07:20:00	117.65	118.73	118.93	118.43	204.33	205.75	204.99	205.02	11.633	12.862	11.201	11.899	1.27226	1.46290	1.25530	3.99046	0.41443	0.30060	0.35015	1.06518	1.36890	1.52802	1.34153	4.23845	0.929	0.957	0.936	0.941	3.84042	1.04272	4.08761	11.969	11.559	11.070	657.4	0.0	140.7	0.0	657.4	657.4	140.7	140.7	684.4
8873	2019-02-15 07:25:00	117.55	118.75	118.97	118.43	204.35	205.75	204.93	205.01	12.031	11.467	11.187	11.562	1.31738	1.29080	1.25731	3.86549	0.43490	0.25914	0.27652	0.97055	1.41705	1.35527	1.32520	4.09752	0.930	0.952	0.949	0.943	3.95852	1.04040	4.20253	12.308	12.203	11.041	657.8	0.0	140.8	0.0	657.8	657.8	140.8	140.8	684.7
8874	2019-02-15 07:30:00	117.31	118.76	119.04	118.37	203.77	205.98	205.07	204.94	11.898	9.8669	10.881	10.882	1.28750	1.09904	1.20605	3.59260	0.43720	0.25354	0.31816	1.00890	1.38965	1.17189	1.28767	3.84921	0.926	0.938	0.937	0.933	3.92734	1.03201	4.17387	12.397	11.736	11.167	658.1	0.0	140.9	0.0	658.1	658.1	140.9	140.9	685.0
8875	2019-02-15 07:35:00	117.31	118.62	118.62	118.18	203.65	205.30	204.52	204.49	12.143	9.4264	10.943	10.837	1.33272	1.05786	1.22555	3.61612	0.43627	0.24653	0.32563	1.00844	1.43109	1.12845	1.30508	3.86462	0.931	0.937	0.939	0.936	3.81877	1.01198	4.06452	12.417	10.809	11.113	658.4	0.0	140.9	0.0	658.4	658.4	140.9	140.9	685.4
8876	2019-02-15 07:40:00	117.57	118.84	118.96	118.46	204.25	205.94	205.00	205.07	12.224	11.633	10.791	11.549	1.34021	1.31513	1.21853	3.87387	0.43519	0.28420	0.27260	0.99199	1.43568	1.37891	1.28398	4.09857	0.934	0.954	0.949	0.945	3.76083	1.00393	4.00373	12.272	10.631	10.910	658.7	0.0	141.0	0.0	658.7	658.7	141.0	141.0	685.7
8877	2019-02-15 07:45:00	117.63	118.75	118.73	118.37	204.38	205.48	204.81	204.89	15.871	13.979	11.134	13.661	1.73340	1.55028	1.20124	4.48492	0.45311	0.28878	0.27761	1.01949	1.81222	1.60498	1.26704	4.68424	0.957	0.966	0.948	0.957	4.14663	1.16225	4.41116	13.415	12.261	11.618	659.1	0.0	141.1	0.0	659.1	659.1	141.1	141.1	686.1
8878	2019-02-15 07:50:00	117.57	118.78	118.98	118.45	204.13	205.75	205.07	204.98	13.261	12.114	9.9874	11.788	1.47874	1.37887	1.13311	3.99072	0.40583	0.27895	0.28904	0.97383	1.55632	1.43744	1.20525	4.19901	0.950	0.959	0.940	0.950	4.36654	1.16550	4.61987	13.990	13.546	11.519	659.4	0.0	141.2	0.0	659.4	659.4	141.2	141.2	686.5
8879	2019-02-15 07:55:00	117.47	118.68	118.88	118.34	203.83	205.65	204.90	204.79	15.538	10.571	10.684	12.264	1.59449	1.17877	1.18831	3.96156	0.45210	0.28947	0.30403	1.04560	1.68241	1.25384	1.26588	4.20212	0.948	0.940	0.939	0.943	4.42853	1.16710	4.67923	14.571	13.490	11.500	659.8	0.0	141.3	0.0	659.8	659.8	141.3	141.3	686.8
8880	2019-02-15 08:00:00	117.32	118.66	118.74	118.24	203.93	205.86	204.92	204.90	13.797	10.459	11.383	11.880	1.52387	1.17037	1.27140	3.96564	0.43456	0.29074	0.30446	1.02976	1.61138	1.24467	1.34303	4.19908	0.946	0.940	0.947	0.944	4.10274	1.02129	4.32786	14.006	11.834	10.764	660.1	0.0	141.4	0.0	660.1	660.1	141.4	141.4	687.2
8881	2019-02-15 08:05:00	117.30	118.64	118.73	118.22	203.79	205.27	204.86	204.64	13.848	11.224	10.085	11.719	1.55553	1.26535	1.12381	3.94469	0.40829	0.26976	0.28005	0.95810	1.63364	1.32898	1.19580	4.15842	0.952	0.952	0.940	0.949	4.03299	1.01106	4.26025	14.100	11.156	10.838	660.4	0.0	141.5	0.0	660.4	660.4	141.5	141.5	687.5
